SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_FLII,mean_pest_record_probability,obs_occurrence,mean_sampling_effort,mean_carbon_percentile,IUCN_group,governance_group,ISO3,country
1090,13,0.058100318078514,8.74432275903834,0.00684239483259728,0,1.0069913594714,0.158835516949654,II,Government,ZMB,Zambia
1091,11,0.0327931768481475,9.42818881026674,0.00452101192195301,0,0.119875228649799,0.0876425813720512,II,Government,ZMB,Zambia
1092,14,0.0668867282792805,9.73080090503758,0.00935846976292553,0,2.36391000449819,0.234942828578777,II,Government,ZMB,Zambia
1093,7,0.0430935659175337,9.78361226760835,0.00329902054604661,0,0.276885889800529,0.189235593404351,II,Government,ZMB,Zambia
1094,8,0.0303352010682195,9.59361576457608,0.0127282074876409,0,1.51419125205109,0.859958386582587,II,Government,ZMB,Zambia
1095,6,0.0321982338367856,9.71671488198213,0.00439212978648005,0,0.457072843032676,0.0375407342086159,II,Government,ZMB,Zambia
1130,7,0.0249609568278021,9.25166542412478,0.393426476447396,0,7.16522885964323,0.635247026718936,Ia,Shared governance,AUS,Australia
1242,19,0.193522824400388,9.60007244733294,0.019952388826947,0,4.45157944644468,0.213494545492372,II,Government,CMR,Cameroon
1256,11,0.103620529971627,8.21767291518013,0.0304274451491176,0,3.34344719963765,0.401595528738146,II,Government,IDN,Indonesia
1259,8,0.0761975886829844,8.35536931872918,0.00981879328948308,0,1.30080098086145,0.523867941406301,IV,Government,IDN,Indonesia
1293,6,0.0159274897383309,6.62301718846773,0.0211624504257474,0,1.44701703313324,0.368206048697426,Ia,Government,CIV,Côte d’Ivoire
1300,11,0.1171624988859,9.66442311951186,0.0127270537443413,0,2.91443824780518,0.258952012911857,Ia,Government,MYS,Malaysia
1308,10,0.0524304315781701,8.77108724948907,0.0441082222956471,0,2.98499654923763,0.383986262600934,II,Government,NPL,Nepal
1337,7,0.0541219858016718,7.22361514904375,0.0293248159931523,0,2.56667314757743,0.774703729211964,II,Government,PHL,Philippines
1338,7,0.0226965881915628,1.58387796550985,0.854836752945619,0,8.43108802605468,0.916893746817459,V,Government,PRT,Portugal
1371,37,0.105436595907035,9.57789907435424,0.00477078209527155,0,0.110902994085213,0.218097227222714,II,Government,SSD,South Sudan
1406,13,0.0722999673605281,8.47768769709946,0.0406790148598065,0,2.51371723796738,0.765670211457641,Ia,Government,THA,Thailand
1408,11,0.0683550032363673,9.5451068805407,0.0718246362231468,0,3.35056108486022,0.563366827811922,Ia,Government,THA,Thailand
1411,10,0.0644234182639344,8.19617189871738,0.13011032629096,0,5.27410892642395,0.482129264849964,Ia,Government,THA,Thailand
1413,6,0.0248809845884989,8.29298112126475,0.0826770164850961,0,4.41208838888282,0.667220469992237,Ia,Government,THA,Thailand
1414,8,0.0384226710287934,9.1653311846671,0.0666943099703595,0,3.42342464909234,0.703417315355033,Ia,Government,THA,Thailand
1416,5,0.0379466537486931,8.39480507836069,0.050935573891215,0,2.95267896022736,0.547487772079565,II,Government,THA,Thailand
1496,7,0.0495261562164844,7.35109460922561,0.149567175834578,0,5.73753121282233,0.68347646384589,II,Government,IDN,Indonesia
1499,15,0.13116667168897,9.27813135327798,0.0917151594026679,0,5.18033613058753,0.229892199255478,II,Government,IDN,Indonesia
1678,16,0.0503518201332796,2.34221060747908,0.205256502149533,0,5.11376329061144,0.255741389468366,II,Government,LVA,Latvia
1683,5,0.0155884576643375,4.2124117167379,0.242517293769648,0,6.56806059232294,0.459993928498428,II,Government,LTU,Lithuania
1899,104,1.1031900937359,9.64375568406068,0.00865082637130293,0,0.965277935115408,0.194213137931082,II,Government,IDN,Indonesia
2008,14,0.0608168352186489,5.95539571257516,0.246136847735039,0,6.69713400506839,0.0991505039852716,Not reported,Not reported,BLR;POL,BLR;POL
2010,6,0.0262520625921995,8.62463048755688,0.0568720920088451,0,4.30481276900041,0.520898421152663,Not reported,Not reported,TZA,Tanzania
2011,6,0.0292696910185451,9.49968691868029,0.481329813519143,0,6.89618920649669,0.517807925453821,Not reported,Not reported,USA,United States
2013,56,0.229949785524052,8.83678479044656,0.290572730567753,0,4.87717174693643,0.84763204811061,Not reported,Not reported,USA,United States
2018,50,0.149907705725643,9.92872082155067,0.0527912777964979,0,1.67000342183084,0.538503732706926,Not reported,Not reported,CAN;USA,CAN;USA
2037,30,0.330618925971725,8.82969169363241,0.00907141747178746,0,2.29407879618811,0.286584938493208,Not reported,Not reported,BOL,Bolivia
2164,152,0.977477664937842,9.07395322291796,0.0150003009711495,0,2.62409390160697,0.0681807393652913,Not reported,Shared governance,RUS,Russia
2172,21,0.242875073247904,8.43343466707372,0.00479600950651058,0,2.08581823524414,0.303478733222199,Not reported,Not reported,COD,Congo - Kinshasa
2257,10,0.0282539200481825,9.72642077180169,0.00272499844426459,0,0.30906377593231,0.684184235642817,IV,Not reported,CAF,Central African Republic
2259,106,0.556113657554027,9.94445610928218,0.000856051876741774,0,0.0273880231719103,0.27338912941274,IV,Not reported,CAF,Central African Republic
2260,14,0.0381535050049061,9.98005247227415,0.00101288691633778,0,0,0.250994267852079,IV,Not reported,CAF,Central African Republic
2261,15,0.0400265658562219,9.90589455519238,0.00147799141509221,0,0.107135216154725,0.364548210799009,IV,Not reported,CAF,Central African Republic
2262,19,0.0887107105277159,9.85887626635745,0.00168641202625493,0,0.029117488324675,0.509571319539233,IV,Not reported,CAF,Central African Republic
2264,18,0.0687694872481683,9.83180442441953,0.00236989953917668,0,0.181139896213342,0.539015156682327,IV,Not reported,CAF,Central African Republic
2265,6,0.0275622602230994,9.92549813867224,0.0021169013281466,0,0.561437015769174,0.0394021523819988,IV,Not reported,CAF,Central African Republic
2266,21,0.0713105069661647,8.82113303927845,0.00591958254888758,0,1.34400211546105,0.634504729573031,IV,Government,COG,Congo - Brazzaville
2280,7,0.0170279875287174,8.18397154863009,0.00253503343685835,0,0.398328203892799,0.28187896982898,II,Government,ETH,Ethiopia
2281,5,0.0479110065379693,7.70743572464728,0.0152017865495098,0,2.82436911757438,0.367224096888999,II,Government,ETH,Ethiopia
2340,9,0.0292717116406185,9.54782200606163,0.0326280173227615,0,3.78940408758271,0.556249270572798,II,Government,TGO,Togo
2499,11,0.112000450724228,9.36250885514382,0.00883400619439439,0,2.67914475292529,0.0886498073730013,VI,Government,ECU,Ecuador
2572,5,0.0105776522777348,9.15016271177081,0.140464373614626,0,6.20185674271486,0.631763058216079,Not reported,Not reported,AUS,Australia
2606,9,0.058994914825023,8.6458211896083,0.473038304033766,0,7.38169287070582,0.342426761831904,Ib,Government,AUS,Australia
3012,52,0.533024978491197,9.75641024585201,0.00714248866624757,0,2.96116091263591,0.076715393378982,Not reported,Not reported,CMR,Cameroon
3014,24,0.109415996978414,9.56323378191882,0.0340561866494168,0,3.13539062056223,0.206304507741023,Not reported,Not reported,CHN,China
3036,12,0.0860681040849369,8.48739182254529,0.246525433864917,0,6.89887321651262,0.777328177504571,Not reported,Not reported,JPN,Japan
3051,12,0.0631206857746745,7.83168663243113,0.0303666064947191,0,4.86342906316982,0.471911152920968,Not reported,Not reported,UGA,Uganda
3066,22,0.0954436069151885,8.14296455827479,0.00501401167901716,0,0.264161396189061,0.274468332552437,IV,Not reported,AGO,Angola
3092,7,0.0376908401277492,5.28898721088201,0.620905245454714,0,7.89963867561566,0.446798398185813,V,Government,JPN,Japan
3095,5,0.0293522119019304,5.90306354485863,0.608207948814482,0,8.78040799688989,0.649607148939475,V,Government,JPN,Japan
3108,9,0.0687833784932186,8.7718444365745,0.135198566638344,0,5.33298641427373,0.56569227369693,II,Government,JPN,Japan
3109,14,0.0975323569995903,8.02813071829048,0.197148630693021,0,6.32544008510758,0.396474571740947,II,Government,JPN,Japan
3149,6,0.0567792950846592,8.05712268311242,0.0344759563084639,0,4.91483211175127,0.490774429220061,Ia,Government,MYS,Malaysia
3237,17,0.158721967343608,8.21670161720927,0.0933962199036482,0,5.23324522361606,0.461314356762551,II,Government,IDN,Indonesia
3266,11,0.0706017479331515,6.82441980725715,0.32664869500558,0,6.91007122890939,0.564564368735186,V,Government,JPN,Japan
3275,9,0.0554887088349199,4.97714022471816,0.314976028377746,0,5.34671233511404,0.805683486686834,V,Government,JPN,Japan
3370,14,0.13575929379993,9.46863057864384,0.0263102708620314,0,6.12607694092769,0.236549857445767,VI,Government,PER,Peru
3468,6,0.0495740500991801,6.76017125709199,0.0502281911584347,0,3.41011644605942,0.514008527503196,Ia,Government,MYS,Malaysia
3702,6,0.0561173005261024,8.15933628377099,0.0200388800961211,0,2.70812780684729,0.537467001079901,VI,Government,MYS,Malaysia
4081,20,0.0356582124402549,7.72178944351508,0.00808476546473985,0,0.548817388217468,0.207059860272881,VI,Shared governance,ZMB,Zambia
4082,31,0.124489628507559,9.25991947863131,0.00518287116576548,0,0.291034392476972,0.190228701041427,VI,Shared governance,ZMB,Zambia
4083,14,0.0766814125217316,9.71334194277803,0.00433369761919626,0,0.354657782053791,0.102857215796608,VI,Shared governance,ZMB,Zambia
4084,35,0.200731480193859,9.63023610631958,0.00384983434225019,0,0.472699738874188,0.362453658118518,VI,Shared governance,ZMB,Zambia
4085,28,0.195695442464239,9.76074535264063,0.00529707696526003,0,0.63934026919416,0.2228078178603,VI,Shared governance,ZMB,Zambia
4087,72,0.392621683395034,9.64681020114679,0.00404815220294739,0,0.097856271573242,0.229786270463004,VI,Shared governance,ZMB,Zambia
4093,5,0.0141849129203239,5.49658801642448,0.00914714979462497,0,0.546416067822566,0.155919060608918,VI,Shared governance,ZMB,Zambia
4094,19,0.0621427973924278,8.25077184821199,0.0124555948735986,0,1.08067186485081,0.0603866613534441,VI,Shared governance,ZMB,Zambia
4095,29,0.0772005191207701,8.91911517342953,0.00898028351534724,0,0.460282559277555,0.296707233767566,VI,Shared governance,ZMB,Zambia
4097,24,0.0733646154573202,9.69043042421459,0.00666449598960608,0,0.241384255589684,0.359806477499917,VI,Shared governance,ZMB,Zambia
4098,16,0.0484441872240413,9.60117617711382,0.00535070842955881,0,0.445597530393126,0.381716095934499,VI,Shared governance,ZMB,Zambia
4099,7,0.0222031881081741,8.8863673353147,0.00792581220099398,0,0,0.501080165444963,VI,Shared governance,ZMB,Zambia
4100,21,0.0609612855952913,8.74682430782836,0.0129688300643842,0,1.64750178596591,0.159505988390913,VI,Shared governance,ZMB,Zambia
4101,11,0.0335685472120253,8.03942579577917,0.00740711616231865,0,0.336608310823516,0.204307217262683,VI,Shared governance,ZMB,Zambia
4102,76,0.261476252567376,9.1941991710423,0.00673481071517434,0,0.520627262625848,0.381491350573667,VI,Shared governance,ZMB,Zambia
4103,5,0.0227358958941472,8.24945147423294,0.00567288543397742,0,0.306291890356721,0.226632140792365,VI,Shared governance,ZMB,Zambia
4104,14,0.0609083475090963,9.7363112503169,0.00381700934439086,0,0.733106344319779,0.180483435886022,VI,Shared governance,ZMB,Zambia
4105,22,0.0782511561552713,7.69959077945751,0.0177437890258392,0,1.94038055797753,0.60508868405631,VI,Shared governance,ZMB,Zambia
