biome_name,carbon_decile,n,n_with_pest,prop_with_pest,se,ci_low,ci_high
Tropical & Subtropical Moist Broadleaf Forests,70–80,3650,127,0.0347945205479452,0.00303332458722235,0.0288492043569894,0.040739836738901
Tropical & Subtropical Moist Broadleaf Forests,80–90,3650,245,0.0671232876712329,0.00414192569611947,0.0590051133068387,0.075241462035627
Tropical & Subtropical Moist Broadleaf Forests,90–100,3650,289,0.0791780821917808,0.00446934500708851,0.0704181659778874,0.0879379984056743
Tundra,0–10,503,0,0,0,0,0
Tundra,10–20,503,2,0.00397614314115308,0.00280596263267572,0,0.00947582990119749
Tundra,20–30,502,2,0.00398406374501992,0.00281154102060576,0,0.00949468414540721
Tundra,30–40,503,2,0.00397614314115308,0.00280596263267572,0,0.00947582990119749
Tundra,40–50,503,2,0.00397614314115308,0.00280596263267572,0,0.00947582990119749
Tundra,50–60,502,8,0.0159362549800797,0.00558924172160135,0.00498134120574104,0.0268911687544183
Tundra,60–70,503,4,0.00795228628230616,0.00396030187043249,0.000190094616258475,0.0157144779483539
Tundra,70–80,502,4,0.00796812749003984,0.00396815923544071,0.000190535388576055,0.0157457195915036
Tundra,80–90,503,12,0.0238568588469185,0.0068042363620709,0.0105205555772595,0.0371931621165775
Tundra,90–100,503,24,0.047713717693837,0.0095043276569192,0.0290852354862754,0.0663421999013986
