SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,mean_delta_pa,excess_pest_signal,monitoring_score_raw,pred_inside_mean,pred_outside_mean,obs_occurrence,record_intensity,mean_sampling_effort,mean_ele,mean_temp,mean_precip_seasonality,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,excess_signal_rank,monitoring_score,monitoring_rank,priority_flag
10903,11,1206.62088644517,0.607728608898279,733.298032786928,0.00584921342395122,0.00584921342395122,4.62690193107919,0.0119183349206911,0.00606912149673984,0.331124308862492,0.329995959592102,4.77189644201712,1356.09194571629,203.54162539506,46.5159383345588,-82.5569208309811,9.04410805868438,Talamanca Range-La Amistad Reserves / La Amistad National Park,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1983,CRI;PAN,5771.99675019212,Other/Not reported,0.831491712707182,0.534990791896869,0.4448404098369,0.843462246777164,FALSE
10906,306,36743.0775594531,0.185720908712445,6823.95775323348,0.000630867828891295,0.000630867828891295,4.3581193474444,0.0011772087202803,0.000546340891389007,0,0,0.264027377708333,424.599855270325,245.436642005367,30.4442246676391,21.2702406251116,-2.13796861494793,Salonga National Park,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1984,COD,35086.1791495569,Other/Not reported,0.99171270718232,0.140883977900553,0.139716431122371,0.401012891344383,FALSE
10907,58,1082.91576731453,0.431105518025865,466.850962846509,0.00433383113177693,0.00433383113177693,1.81434883502404,0.00848606498208411,0.00415223385030717,0.0139188091507891,0.00964778331962146,1.66091390961001,577.404120163752,234.024303524592,120.499089098051,29.7676901534627,-15.9143816187412,"Mana Pools National Park, Sapi and Chewore Safari Areas",World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1984,ZWE,6715.5235449907,Other/Not reported,0.739871086556169,0.478360957642726,0.353925441497173,0.75,FALSE
10908,27,1214.90718562791,0.856628891740497,1040.72459599201,0.103284398262232,0.103284398262232,106.079643602325,0.238199733356166,0.134915335093935,0.766129364496557,1.8135882272625,7.00067437466151,2118.29262372361,63.5198274842241,73.5719151990258,-119.616657408153,37.7620082852659,Yosemite National Park,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1984,USA,3024.75677865047,Other/Not reported,0.888121546961326,0.943370165745856,0.837827370959372,0.996777163904236,TRUE
11597,10,344.628163288764,0.877572597385701,302.436232389584,0.00488990619567151,0.00488990619567151,1.45674506808904,0.00959044704756202,0.00470054085189051,0,0,0.638578178570695,385.079694428187,258.905251590141,75.7359144704086,9.90503840354411,6.8939949731215,Kashimbila,Game Reserve,National,IV,Sub-national ministry or agency,Designated,1977,NGA,1065.27994170302,IV,0.602209944751381,0.501381215469613,0.301936754067336,0.677716390423573,FALSE
11599,7,152.911552879212,0.0568350194681307,8.69073108479211,0.0183354572241806,0.0183354572241806,0.150359902493303,0.0335676952017922,0.0152322379776115,0,0,0.636879909599215,189.997804668263,270.624779959976,67.8997394921291,2.82641027160128,7.73902838630622,Meko,Game Reserve,National,Not Reported,Sub-national ministry or agency,Proposed,0,NGA,746.605203088102,Other/Not reported,0.0124309392265193,0.742173112338858,0.00922590885504106,0.0524861878453039,FALSE
11752,11,676.148594461629,0.406900148789078,275.124963689963,0.0152241391490548,0.0152241391490548,4.18976980413507,0.0306061553795346,0.0153820162304799,0,0,0.609054384547411,563.487175941175,232.704895894493,85.1635277409087,94.4462177769331,22.3983945841188,Alaungdaw Katthapa National Park,National Park and ASEAN Heritage Park,National,II,Federal or national ministry or agency,Designated,1989,MMR,1419.05383840997,II,0.576887661141805,0.706261510128914,0.407433550732748,0.807550644567219,FALSE
11873,39,4174.55376690488,0.127274446785447,531.314021258922,0.00111922319358749,0.00111922319358749,0.726074604403231,0.00207311571034581,0.000953892516758315,0,0,1.56720973192654,1252.83989288958,208.471608318972,13.1357064397096,133.245430457293,-1.15670554719948,Pegunungan Tamrau Selatan,Nature Reserve,National,Ia,Federal or national ministry or agency,Designated,0,IDN,4750.99582807313,Ia,0.76427255985267,0.213627992633517,0.163270012786206,0.442909760589319,FALSE
12158,5,192.25008164194,0.477072282762725,91.7171853102407,0.0488112832492438,0.0488112832492438,4.47200805354824,0.102840718002363,0.0540294347531193,1,4.60662995810278,8.53282936694342,465.078820266685,77.901791544814,24.9400936772986,18.8564503504941,48.4486117998163,Štiavnické vrchy,Protected Landscape Area; second level of protection,National,V,Federal or national ministry or agency,Designated,1979,SVK,787.939893050234,V,0.247237569060774,0.882136279926335,0.218097229429301,0.541436464088398,FALSE
12162,41,1794.15009112524,0.919421838580594,1649.58077547191,0.167461562026962,0.167461562026962,276.431623761539,0.478326679172443,0.310865117145481,1,2.61350742172788,8.87799307485474,74.2843037548327,125.809082120596,19.2932015495634,-0.659683103488888,44.3717518410132,Landes De Gascogne,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1970,FRA,3613.36338391136,V,0.934622467771639,0.984806629834254,0.920422402653562,1,TRUE
12176,23,1800.80585025959,0.222288672419273,400.298741739064,0.012468682513189,0.012468682513189,5.78041693781747,0.0240490774726572,0.0115803949594682,0.0341406663820468,0.0236645066451535,2.24008387531081,202.886779600094,261.528173412197,102.71532996456,106.138168473986,14.5109925505254,Xe Pian,National Park,National,VI,Federal or national ministry or agency,Designated,2021,LAO,2563.15831919325,VI,0.699355432780847,0.662523020257827,0.463339073559686,0.85865561694291,FALSE
12182,17,1306.81522288555,0.490557932845169,641.068574349335,0.00772268613333095,0.00772268613333095,5.13998402659143,0.0156699109120952,0.00794722477876427,0,0,0.705477958745952,988.118461201282,200.057715600296,86.9030744366615,102.361491165254,22.0284457763269,Phou Daen Din,National Protected Area,National,VI,Federal or national ministry or agency,Designated,1993,LAO,1818.42769140185,VI,0.808931860036832,0.583793738489871,0.472249354754468,0.866942909760589,FALSE
12193,5,442.293394586923,0.255513651776497,113.012000407528,0.000689747415022934,0.000689747415022934,0.0713099226608094,0.00130104016238653,0.0006112927473636,0,0,1.21624552484063,30.0614350227249,271.219247040958,43.4806965746023,-57.0335354356092,5.30351187226065,Kaboeri Kreek,Nature Reserve,National,Not Reported,Not Reported,Proposed,1987,SUR,745.504949700398,Other/Not reported,0.291896869244936,0.151933701657459,0.0443489718466062,0.164825046040516,FALSE
12202,40,2121.76473382397,0.605270950913869,1284.24255805714,0.0401828420432263,0.0401828420432263,48.1194674937631,0.0833108325850883,0.043127990541862,0.34327070342526,0.48333292070115,7.52786510949535,668.296544051412,151.871962382126,40.4472956782901,152.273879723369,-30.3154334608609,Gondwana Rainforests of Australia,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1986,AUS,3694.2528718068,Other/Not reported,0.91390423572744,0.863720073664825,0.7893574338051,0.990331491712707,TRUE
12213,10,932.040268509461,0.36533770731435,340.509454821898,0.00688196295430667,0.00688196295430667,2.43633378122387,0.0136136463152366,0.00673168336092998,0.0679201077535736,0.0470786311927172,7.26818339135484,1393.58450218733,202.507430529623,50.0391244078328,-75.383801702576,-10.3361936994719,Yanachaga-Chemillén,National Park,National,II,Federal or national ministry or agency,Designated,1986,PER,1138.17219027897,II,0.643186003683241,0.562615101289134,0.36186615861,0.762430939226519,FALSE
12258,22,1614.3643255084,0.436466596674798,704.616102947858,0.0223705238895786,0.0223705238895786,15.9164492911656,0.0454938800753901,0.0231233561858115,0.471853997284667,0.47921570469678,6.34476504451553,1171.38157768444,71.1044384932778,52.2087598183798,139.623532584325,36.9279124597987,Nikko,National Park,National,V,Federal or national ministry or agency,Designated,2008,JPN,1159.29651565864,V,0.824585635359116,0.770718232044199,0.63552318305302,0.954419889502763,TRUE
12261,20,1315.83161736784,0.587474637985922,773.017703063603,0.0288393672205292,0.0288393672205292,22.3366129973069,0.0603938927697334,0.0315545255492042,0.482710513691007,0.638612326952834,7.0761804937376,1308.04950905582,69.1826614888441,42.5066701327712,138.660215250565,36.7104463014453,Joshinetsukogen,National Park,National,II,Federal or national ministry or agency,Designated,2019,JPN,1483.18509549656,II,0.841620626151013,0.819060773480663,0.689338441032529,0.970073664825046,TRUE
12288,5,310.29410163948,0.796337566217987,247.09884971138,0.0238011619309938,0.0238011619309938,5.88538702718326,0.0486380348675738,0.02483687293658,0.207015441013314,0.227429707441274,5.29394255649785,739.731103287431,119.172186797956,60.9623998937475,131.073899418106,32.3569910035026,Kyushuchuosanchi,Quasi National Park,National,V,Sub-national ministry or agency,Designated,1982,JPN,269.518475341372,V,0.537292817679558,0.784530386740332,0.421522542046946,0.823204419889503,FALSE
12339,8,86.8525082365649,0.53366381333798,46.3500407434935,0.166377243718943,0.166377243718943,7.65241838545031,0.510303335872893,0.343926092153949,1,2.89393582704503,8.33319935765248,227.981174315677,98.8448642639589,15.056093015072,-0.186293485999176,48.5033491869849,Normandie-Maine,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1975,FRA,2570.81890979815,V,0.106353591160221,0.981123388581952,0.104345995746976,0.318600368324125,FALSE
12340,8,226.148388930785,0.254941182560759,57.6545377082247,0.162346774408891,0.162346774408891,9.1044808271361,0.737963151759428,0.575616377350537,1,7.47513714876073,11.1646519863348,159.394567262082,103.068888360097,8.31713509832492,1.86006368358122,48.693588150745,Haute Vallée De Chevreuse,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1985,FRA,658.834513524444,V,0.143186003683241,0.975138121546961,0.139626130663492,0.400552486187845,FALSE
12396,35,1325.25583120135,0.59668147149941,790.755599474398,0.16658885141358,0.16658885141358,131.273914794039,0.517734217370557,0.351145365956977,0.792067177118698,0.94278357262431,9.77171430290044,816.653243385628,83.4019295086264,25.9945276478233,3.6642611793174,45.5467043082722,Livradois-Forez,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1986,FRA,3242.88737677893,V,0.848066298342542,0.98158379373849,0.83244813446883,0.994935543278085,TRUE
12397,23,1116.86496943497,0.693821146913248,774.904534040601,0.159749446388841,0.159749446388841,124.037870969136,0.466050894011764,0.306301447622924,0.926137722605907,1.54948403446113,10.0284312119744,848.233068194336,76.6938705735007,10.3358911982686,5.90993231774001,46.4568213789796,Haut-Jura,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,1986,FRA,1779.94530855457,V,0.842541436464089,0.971915285451197,0.818878900725456,0.993554327808471,TRUE
