iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
ROU,5028375.97209718,701372.510257019,701372.510257019,0.139482909422244,0.139482909422244,1256,150,97,5.02837597209718,0.701372510257019,0.701372510257019,13.9482909422244,13.9482909422244,Romania,Europe
BGR,4848950.64065275,385919.682019256,385919.682019256,0.0795882883986842,0.0795882883986842,882,64,26,4.84895064065275,0.385919682019256,0.385919682019256,7.95882883986842,7.95882883986842,Republic of Bulgaria,Europe
FIN,4799848.02151876,825294.044009365,825294.044009365,0.171941703218392,0.171941703218392,4018,1050,663,4.79984802151876,0.825294044009365,0.825294044009365,17.1941703218392,17.1941703218392,Republic of Finland,Europe
LAO,4492545.16433616,45312.8313886362,45312.8313886362,0.010086227234475,0.010086227234475,658,10,4,4.49254516433616,0.0453128313886362,0.0453128313886362,1.0086227234475,1.0086227234475,Lao People's Democratic Republic,Asia
VNM,4476770.53621912,330653.555384673,330653.555384673,0.0738598399693561,0.0738598399693561,803,60,30,4.47677053621912,0.330653555384673,0.330653555384673,7.38598399693561,7.38598399693561,Socialist Republic of Vietnam,Asia
CMR,4388513.46847103,47851.289617461,47851.289617461,0.0109037581771698,0.0109037581771698,627,15,12,4.38851346847103,0.047851289617461,0.047851289617461,1.09037581771698,1.09037581771698,Republic of Cameroon,Africa
ZAF,4286317.07991306,866736.67892256,866736.67892256,0.202210117161967,0.202210117161967,1080,214,122,4.28631707991306,0.86673667892256,0.86673667892256,20.2210117161967,20.2210117161967,Republic of South Africa,Africa
MMR,4245083.79916751,14763.1965225251,14763.1965225251,0.0034777161584938,0.0034777161584938,647,3,0,4.24508379916751,0.0147631965225251,0.0147631965225251,0.34777161584938,0.34777161584938,Republic of the Union of Myanmar,Asia
MYS,4166109.83807346,334469.85344319,334469.85344319,0.0802834938211468,0.0802834938211468,956,88,44,4.16610983807346,0.33446985344319,0.33446985344319,8.02834938211468,8.02834938211468,Malaysia,Asia
NIC,4130143.13229111,308988.028101312,308988.028101312,0.0748129104014627,0.0748129104014627,485,41,38,4.13014313229111,0.308988028101312,0.308988028101312,7.48129104014627,7.48129104014627,Republic of Nicaragua,North America
