SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_carbon_percentile,mean_pest_record_probability,obs_occurrence,record_intensity,mean_sampling_effort,lon,lat,IUCN_group,governance_group,ISO3,country
555703747,11,0.0861911558234968,0.582919798195692,0.036692635285152,0,0,0.896416709883888,103.843294634941,19.8290912406039,VI,Government,LAO,Laos
555703748,11,0.0877104645168848,0.496708102599983,0.0187700904320957,0,0,0.452416481912544,106.325402219279,16.9704182145578,VI,Government,LAO,Laos
555704125,32,0.105858633792761,0.265164628634419,0.0781713057447661,0,0,3.23039924647088,29.9545122258974,51.370733966379,Ia,Government,UKR,Ukraine
555704303,7,0.0416114989480915,0.0832375134139604,0.229191474831333,0,0,4.46073589089105,-72.9723002340212,46.7956718889791,II,Government,CAN,Canada
555704519,10,0.0484658145582848,0.309985836168441,0.272180150376488,0,0,4.38920294227536,-116.90148354636,49.311988088937,IV,Private/non-profit,CAN,Canada
555704857,9,0.036353333057632,0.338549489998865,0.0489884177205719,0,0,3.10809224386896,-132.844839938577,53.8738660952153,II,Government,CAN,Canada
555704860,121,0.561100237225723,0.527008743853291,0.0583362436451087,0,0,1.34162881187932,-126.235331181726,53.0432913344677,II,Government,CAN,Canada
555704861,31,0.144724099934939,0.659995117191912,0.185655671106432,0,0,5.4146897049281,-125.732566168179,49.6371516748366,II,Government,CAN,Canada
555705044,64,0.253558815260058,0.646706328431835,0.052894122180023,0,0,1.6794702729998,-76.7957509640653,51.0051625413441,II,Government,CAN,Canada
555705056,6,0.012620082843527,0.523932638562907,0.0132082622921959,0,0,0.131895656731871,-64.1666040403197,51.8747043507635,II,Government,CAN,Canada
555705067,17,0.0374170827387927,0.505996670555463,0.0827069389288053,0,0,2.14723897876148,-79.1520744159785,54.4576257326308,II,Government,CAN,Canada
555705068,30,0.0795681796660846,0.497310591214011,0.0430653399668848,0,0,0.957369242579089,-77.9428437460506,52.7711495056862,II,Government,CAN,Canada
555705069,7,0.0265238969057794,0.6303629707888,0.07846370724962,0,0,1.43299467835844,-76.4931509870606,49.5870058101929,II,Government,CAN,Canada
555705075,8,0.0214170898339301,0.2766774365462,0.0965719796121953,0,0,0.5768715573798,-59.3016543071225,50.8506196918274,II,Government,CAN,Canada
555705171,6,0.00925894536098097,0.865882416606323,0.100961802901311,0,0,2.87004599006084,-16.4194379036632,13.0103390208783,VI,Shared governance,SEN,Senegal
555705177,5,0.00828052559167979,0.608166917227798,0.0161078820125129,0,0,1.35979177497626,-4.81141260941107,9.7939974304881,IV,Not reported,BFA,Burkina Faso
555705202,35,0.203591350102346,0.458531529863129,0.00654893670842418,0,0,0.58913609770728,38.3093550590894,-16.5732898676226,II,Government,MOZ,Mozambique
555705204,30,0.0632583045230352,0.412653159670855,0.0214246933213231,0,0,1.54489739013897,39.7394190378913,8.03562299854789,II,Government,ETH,Ethiopia
555705215,12,0.133058259046249,0.433408176393571,0.00641318780868559,0,0,1.23716296121082,-62.3499194682286,6.91608060097581,VI,Government,VEN,Venezuela
555705237,33,0.150905662196548,0.576044405964829,0.0703999007618162,0,0,3.70170453392017,-69.924023129235,8.91193516880217,VI,Shared governance,VEN,Venezuela
555705282,5,0.0270922077089989,0.813679802997971,0.0087815984776326,0,0,0.406664346650297,-62.6928455641748,9.33135867691427,IV,Government,VEN,Venezuela
555705298,5,0.059138449278256,0.425134330203729,0.00979232235679463,0,0,2.68901116267533,-77.727317657915,8.46831818772227,V,Government,PAN,Panama
555705313,25,0.157507148204443,0.490945258299696,0.00663285802173472,0,0,1.06127694239216,13.8897194319223,-2.44917811016639,II,Government,COG,Congo - Brazzaville
555705344,277,1.01450570902464,0.470829540130638,0.00331096661984618,0,0,0.311013213616453,36.9335323926757,-12.2948183888635,VI,Shared governance,MOZ,Mozambique
555705345,22,0.109785776139068,0.768945998723032,0.0425874976230136,0,0,4.4149829267547,33.1396187303876,-19.7958031033257,VI,Government,MOZ,Mozambique
555705633,5,0.0470964707831218,0.416725768857038,0.0326625047433046,0,0,3.98084995370289,117.571092844208,4.82122998473451,Ia,Government,MYS,Malaysia
555705634,8,0.0733401938577733,0.369270557486293,0.0237421879141461,0,0,4.42450399138093,117.163050070065,4.94327806961112,Ia,Government,MYS,Malaysia
555705678,18,0.186653663831266,0.424063108383465,0.050587068220299,0,0,4.89133601404944,117.869723838198,4.99220144603443,Ia,Government,MYS,Malaysia
555705696,10,0.0974526088328028,0.423397161301538,0.0305475077199146,0,0,4.83706077048394,117.39557038656,5.15244462470138,Ib,Government,MYS,Malaysia
555705733,5,0.0535295043243295,0.366547736805495,0.00296157092095947,0,0,2.38755986208026,102.862938638898,4.38547026261529,Ib,Government,MYS,Malaysia
555705759,33,0.353281680869415,0.352467405913809,0.0112902353745407,0,0,3.26121045154104,102.418620458603,4.58887951947033,II,Government,MYS,Malaysia
555705760,5,0.0497481695743411,0.460993124257608,0.00566814820589277,0,0,1.85608934855443,102.492166193997,4.84967149302783,II,Government,MYS,Malaysia
555705761,6,0.0520511976555493,0.396290825554856,0.0120008389090689,0,0,4.67070156925191,102.852706667752,4.82100981010394,II,Government,MYS,Malaysia
555705763,11,0.102376312654087,0.596423117322282,0.115674202884626,0,0,5.95500808871755,101.804221786744,3.42644031392504,II,Government,MYS,Malaysia
555705776,10,0.0986750267651989,0.45231555292547,0.0100399626045748,0,0,2.89395617702699,101.498651578973,5.73921410645802,II,Government,MYS,Malaysia
555705798,5,0.039255272153612,0.688066894428701,0.0196791832593049,0,0,1.86842153399768,102.859865779838,3.26694451067878,VI,Government,MYS,Malaysia
555705806,10,0.10439551457675,0.420621993090342,0.0173921337800374,0,0,3.43905229412464,103.27384907256,2.48265823413265,VI,Government,MYS,Malaysia
555705844,24,0.0338434045758119,0.0129601756945615,0.0446091766619954,0,0,3.06939135059337,122.099987535353,-32.0686063472153,VI,Community/Indigenous,AUS,Australia
555705860,8,0.0199657426740125,0.224208530836737,0.039634570952719,0,0,3.8572855603437,70.3386273513292,52.9981605400052,II,Government,KAZ,Kazakhstan
555705861,31,0.0641608305479873,0.406787087509299,0.0138201987319019,0,0,2.41967783330582,85.964193695656,49.3525055254984,II,Government,KAZ,Kazakhstan
555705864,18,0.0434074816715536,0.397949471288832,0.0133009934587216,0,0,1.71557046052003,80.6997568691781,45.3961284100332,II,Government,KAZ,Kazakhstan
555705870,13,0.0157849767925937,0.127580775293882,0.00585150969421928,0,0,0.127712268608694,78.9742021590552,51.8783600567479,VI,Government,KAZ,Kazakhstan
555705871,7,0.00604269394232654,0.282929623875057,0.00758450359270508,0,0,0.380046721613004,80.3490800786715,50.7824590089321,VI,Government,KAZ,Kazakhstan
555707301,21,0.0724541442042374,0.468895339534399,0.00162753297057814,0,0,1.09762833020164,128.780186953783,53.7621536923192,IV,Government,RUS,Russia
555707303,7,0.0190766912834443,0.334525384435824,0.00255489942722488,0,0,1.79432243166797,125.389298849391,53.3162828439448,IV,Government,RUS,Russia
555707304,14,0.0338538081435874,0.191640400164962,0.0111868900348503,0,0,2.83268603574083,126.997797886596,51.3681064953592,IV,Government,RUS,Russia
555707364,13,0.0418911705256474,0.324490141048143,0.117078496501247,0,0,6.62215377881325,34.985613067121,57.8723868983076,IV,Government,RUS,Russia
555707395,6,0.0157320624721738,0.227404655260794,0.00137186544326342,0,0,0,63.411100594871,59.6777028973526,IV,Government,RUS,Russia
555707555,8,0.0166342068764116,0.454391022565042,0.0212683102085773,0,0,5.07364898930375,85.9570060821469,50.6119405727833,II,Government,RUS,Russia
555707653,13,0.0202225991254097,0.807780015848079,0.00220304425543901,0,0,1.60883874375009,113.136411651905,50.9220463675436,II,Government,RUS,Russia
555707814,9,0.0315061394820303,0.269715389940384,0.00247324005154248,0,0,0.992568856382832,142.464685994091,52.0376871152045,IV,Government,RUS,Russia
