SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,pest_signal,pest_signal_observed_effort,obs_occurrence,record_intensity,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,pest_signal_rank,priority_score,priority_rank,priority_flag
33966,20,811.078353089245,0.784090143694132,635.958542420946,0.00358907134802743,0.0027922196618347,0,0,-53.1884880270327,-14.4189335308117,Parabubure,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,2249.84742052178,Other/Not reported,0.791681867931412,0.2506384531193,0.198425918740927,0.517694272163444,FALSE
33967,6,200.216832969017,0.791374648830268,158.446525880764,0.0025244439687812,0.00182931279554844,0,0,-58.7348621011628,-14.1335938465219,Paresi,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,5625.64406917379,Other/Not reported,0.380153228748632,0.204304998175848,0.0776672047060321,0.253192265596498,FALSE
33969,24,1091.55194338524,0.78907845665205,861.320122841971,0.00161968362404521,0.00158614017561733,0,0,-51.6350141850113,-13.3936817851749,Pimentel Barbosa,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1994,BRA,3276.67096633969,Other/Not reported,0.852608537030281,0.156512221816855,0.133443656470628,0.387085005472455,FALSE
33976,5,208.047134029291,0.821268962716214,170.862653960317,0.00378124123174866,0.00308618775120379,0,0,-53.8833430306519,-15.4393302390558,Sangradouro/Volta Grande,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1996,BRA,1024.59417438418,Other/Not reported,0.40751550529004,0.258664720904779,0.105409884440218,0.321780372126961,FALSE
33980,6,448.371479340212,0.480844455693255,215.596939931724,0.00361814514394093,0.00339607718666512,0,0,-59.5018102006509,-14.7981745524725,Sararé,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,674.489117997252,Other/Not reported,0.484129879605983,0.252462604888727,0.122224690509792,0.361546880700474,FALSE
33981,9,982.060631057846,0.487093966452471,478.355808078782,0.000677021321396779,0.000468566452988245,0,0,-59.3238200139633,-11.0080631578141,Serra Morena,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1990,BRA,1477.32146153592,Other/Not reported,0.729660707770887,0.0569135352061292,0.0415275703802475,0.153593578985772,FALSE
33984,5,322.7825249993,0.681181042294776,219.873336813563,0.00272742263109651,0.00394085455450702,0,0,-50.712513402503,-10.6201389077975,Tapirapé/Karajá,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2005,BRA,660.757125417635,Other/Not reported,0.488507843852609,0.218533381977381,0.106755271239589,0.325428675665815,FALSE
33986,8,474.534825531712,0.916619284655589,434.967772323043,0.00210203778290543,0.00175941459874047,0,0,-58.4089475696719,-13.1095312433332,Tirecatinga,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,1304.79707508746,Other/Not reported,0.70375775264502,0.184239328712149,0.129659855923289,0.37869390733309,FALSE
33988,25,1462.81575625408,0.8935622636794,1307.11695850429,0.00206130321508484,0.00163694272355656,0,0,-58.2367869379886,-13.4918607931677,Utiariti,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,4097.9911734073,Other/Not reported,0.904414447282014,0.181685516234951,0.16431900574478,0.449835826340752,FALSE
33989,19,1421.27659135731,0.560614650633545,796.788479717415,0.00409053711401952,0.00484724048781073,0,0,-59.9409980116686,-13.75420927174,Vale do Guaporé,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,2406.68438755976,Other/Not reported,0.840569135352061,0.274352426121853,0.230612181606987,0.576796789492886,FALSE
