SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag
370277,15,523.518645693372,0.803324852258011,8,299.056823763579,0.2457446315215,0.687240444568876,0.623826401117664,0.378081769596164,John Muir,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,2645.15862623915,Americas,Ib,-0.2457446315215,0.5,0.437984496124031,0.468992248062016,0.00387596899224806,0.00181779941109308,FALSE
370437,10,289.016372376681,0.852028867829565,9,266.409488960032,0.00232105696457178,0,0.00359496783627993,0.00127391087170815,Kenai,National Wildlife Refuge,National,IV,Federal or national ministry or agency,Designated,1960,USA,7845.58383470841,Americas,IV,-0.00232105696457178,0.674418604651163,0.356589147286822,0.515503875968992,0.782945736434109,0.40361156180518,FALSE
371476,9,579.138570301812,0.918664428300154,8,531.374907101023,0.147333645759196,0.385178597045778,0.328812626710375,0.181478980951179,Marble Mountain,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,911.760247510098,Americas,Ib,-0.147333645759196,0.852713178294574,0.724806201550388,0.788759689922481,0.0930232558139535,0.0733729944113935,FALSE
372151,12,796.844045987572,0.803362859468543,7,436.416838094427,0.239112363742308,0.839167697706071,0.548897359292467,0.309784995550159,Mount Rainier,National Park,National,II,Federal or national ministry or agency,Designated,1899,USA,956.650057774967,Americas,II,-0.239112363742308,0.503875968992248,0.631782945736434,0.567829457364341,0.0116279069767442,0.00660266810888769,FALSE
372420,7,172.553616905321,0.870129894787301,6,157.602791193189,0.0822829417299382,0,0.135874619636547,0.053591677906609,North Absaroka,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,1401.5086788894,Americas,Ib,-0.0822829417299382,0.748062015503876,0.135658914728682,0.441860465116279,0.24031007751938,0.106183522624842,FALSE
372957,25,1291.52312782731,0.612541058988268,6,288.313718506049,0.0719805638511847,0,0.117234815432179,0.0452542515809944,Pasayten,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1969,USA,2150.19224668986,Americas,Ib,-0.0719805638511847,0.170542635658915,0.414728682170543,0.292635658914729,0.251937984496124,0.073726038098672,FALSE
373034,7,420.850278889729,0.893572071231041,6,390.138225498035,0.219293808889081,0.816643512026296,0.446353909824806,0.227060100935725,Pecos,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1955,USA,897.690698143445,Americas,Ib,-0.219293808889081,0.813953488372093,0.596899224806202,0.705426356589147,0.0193798449612403,0.0136710534222703,FALSE
375788,17,593.008282420446,0.853762841465415,13,467.041322447452,0.104535018329401,0.230904867994214,0.191582784482854,0.087047766153453,Teton,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,2366.32949833083,Americas,Ib,-0.104535018329401,0.682170542635659,0.678294573643411,0.680232558139535,0.182170542635659,0.123918334234721,FALSE
375919,15,900.602826623996,0.761734795608828,9,479.454053287066,0.200869317822069,0.484121684383424,0.421951416193059,0.221082098370991,Three Sisters,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,1148.57108864518,Americas,Ib,-0.200869317822069,0.387596899224806,0.693798449612403,0.540697674418605,0.0348837209302326,0.0188615467820444,FALSE
376099,25,1443.07475765868,0.842195394281913,15,895.273005878168,0.135569885659376,0.412309237647448,0.349454956686089,0.213885071026713,Trinity Alps,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,2185.62571753865,Americas,Ib,-0.135569885659376,0.631782945736434,0.864341085271318,0.748062015503876,0.112403100775194,0.0840844901147768,FALSE
376604,18,389.165947365404,0.771302638178915,5,119.796541336411,0.0982079156423392,0.205384277035289,0.165062983370448,0.066855067728109,Washakie,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1972,USA,2808.24908057942,Americas,Ib,-0.0982079156423392,0.410852713178295,0.062015503875969,0.236434108527132,0.201550387596899,0.0476533862147708,FALSE
376699,17,482.059006286366,0.888483801574789,14,417.357292719037,0.116514301350283,0.0384603507606989,0.226310831041249,0.109796529690966,Weminuche,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1975,USA,2024.67381504518,Americas,Ib,-0.116514301350283,0.806201550387597,0.604651162790698,0.705426356589147,0.158914728682171,0.112102638062616,FALSE
391972,9,440.139182204926,0.791697425617216,5,227.04875195764,0.111156747554387,1,0.849793393566289,0.738636646011902,Pyrénées Ariégeoises,Regional Nature Park,National,V,Federal or national ministry or agency,Designated,2009,FRA,2454.82870731469,Europe,V,-0.111156747554387,0.457364341085271,0.286821705426357,0.372093023255814,0.166666666666667,0.062015503875969,FALSE
478429,32,1403.53098471492,0.808752521129556,21,745.521410642926,0.0728741582673761,0.0772670898483918,0.158214817018485,0.0853406587511088,Área De Proteção Ambiental Bacia Do Paraíba Do Sul,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1982,BRA,2925.9786480277,Americas,V,-0.0728741582673761,0.542635658914729,0.810077519379845,0.676356589147287,0.248062015503876,0.167778378703203,FALSE
478431,70,7116.79025369119,0.380821580336166,5,432.113605802615,0.000672211705835461,0,0.000986416002773992,0.00031420429693853,Parque Nacional Mapinguari,Park,National,II,Sub-national ministry or agency,Designated,2008,BRA,17769.2595685774,Americas,II,-0.000672211705835461,0.0310077519379845,0.62015503875969,0.325581395348837,0.922480620155039,0.300342527492338,FALSE
478525,19,1058.4051653787,0.815222165146931,13,673.066136241848,0.0147632305117288,0,0.0340967645544242,0.0193335340426955,Área De Proteção Ambiental Do Lago De Tucurui,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,2002,BRA,5682.28526021169,Americas,V,-0.0147632305117288,0.565891472868217,0.790697674418605,0.678294573643411,0.484496124031008,0.328631091881497,FALSE
900694,91,2107.39251080108,0.448680102746141,7,222.824483633503,0.000842308801761015,0,0.00167430362397003,0.000831994822209012,Tinkisso,Wetland of International Importance (Ramsar Site),International,IV,Not Reported,Designated,2002,GIN,12289.8498811397,Africa,IV,-0.000842308801761015,0.0426356589147287,0.27906976744186,0.160852713178295,0.89922480620155,0.144642749834746,FALSE
