SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag,effect_rank,priority_cut,lon,lat,priority_rank,size_class,designation_group,governance_group
555576172,16,446.818041756098,0.847590356763737,12,358.148914385189,0.0154194751668567,0,0.0358144176098345,0.0203949424429779,Apa Corumbataí Botucatu Tejupa Perimetro Botucatu,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1983,BRA,2139.0250104319,Americas,V,-0.0154194751668567,0.650442477876106,0.579646017699115,0.615044247787611,0.48062015503876,0.342900775315217,FALSE,0.557522123893805,0.507126634818702,-48.4875,-23.1625,0.721238938053097,Medium,Other designations,Government
555576203,6,261.487247946953,0.814076546846682,5,187.553237824479,0.144759991235754,0.853136684610794,0.334756164413342,0.189996173177589,Apa Sistema Cantareira,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1998,BRA,2540.92401434659,Americas,V,-0.144759991235754,0.557522123893805,0.225663716814159,0.391592920353982,0.0968992248062016,0.356938679614692,FALSE,0.911504424778761,0.507126634818702,-46.6166666666667,-23.2166666666667,0.752212389380531,Medium,Other designations,Government
555576219,15,704.970000005409,0.747464434298234,6,252.652418782454,0.124630093324146,0.41643741906347,0.224183397205648,0.0995533038815015,Área De Proteção Ambiental Sul-Rmbh,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1994,BRA,1644.31071059162,Americas,V,-0.124630093324146,0.323008849557522,0.345132743362832,0.334070796460177,0.135658914728682,0.29415968360874,FALSE,0.880530973451327,0.507126634818702,-43.77,-20.1233333333333,0.632743362831858,Small,Other designations,Government
555576306,27,1013.14149761093,0.804582997082328,16,565.583095016216,0.0692709247985105,0,0.17924231938873,0.10997139459022,Apa Piracicaba Juquerí-Mirim Area Ii,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1991,BRA,2808.12550458267,Americas,V,-0.0692709247985105,0.5,0.774336283185841,0.63716814159292,0.255813953488372,0.4877437544052,FALSE,0.765486725663717,0.507126634818702,-46.5018518518519,-22.8796296296296,0.889380530973451,Medium,Other designations,Government
555576453,17,1457.82175270667,0.879860632423418,15,1353.49571040776,0.00697798941303843,0,0.0159325322838264,0.00895454287078794,Área De Proteção Ambiental Dos Morros Garapenses,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,2010,BRA,2343.28218861722,Americas,V,-0.00697798941303843,0.778761061946903,0.946902654867257,0.86283185840708,0.612403100775194,0.362694807737489,FALSE,0.420353982300885,0.507126634818702,-43.0264705882353,-3.98529411764707,0.765486725663717,Medium,Other designations,Government
555576479,7,366.329756946671,0.916222490228764,7,366.329756946671,0.0970092908762138,0.533859926385999,0.26648475340991,0.169475462533696,Apa Itupararanga,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1998,BRA,935.864894992598,Americas,V,-0.0970092908762138,0.845132743362832,0.592920353982301,0.719026548672566,0.209302325581395,0.588583679223119,TRUE,0.81858407079646,0.507126634818702,-47.1785714285714,-23.6928571428571,0.951327433628319,Small,Other designations,Government
555577244,33,607.293453710168,0.663959302633069,5,103.846217378593,0.0610148187721538,0,0.0926080473568305,0.0315932285846767,Oyala Thumotang,National Park Aboriginal,National,II,Joint governance,Designated,2012,AUS,3812.76081712943,Oceania,II,-0.0610148187721538,0.221238938053097,0.0442477876106195,0.132743362831858,0.275193798449612,0.0992638421176287,FALSE,0.747787610619469,0.507126634818702,142.680303030303,-13.6166666666667,0.252212389380531,Large,National Park,Other governance
555577270,29,394.187730476434,0.810312192707478,22,294.129123347572,0.1720514636051,0.240531189715646,0.316277330058031,0.144225866452931,Rinyirru (Lakefield),National Park Aboriginal,National,II,Joint governance,Designated,2011,AUS,5439.30712627082,Oceania,II,-0.1720514636051,0.544247787610619,0.451327433628319,0.497787610619469,0.0542635658914729,0.475761610149581,FALSE,0.955752212389381,0.507126634818702,144.174137931035,-15.0224137931034,0.858407079646018,Large,National Park,Other governance
555577339,13,235.344976071492,0.952431014738988,13,235.344976071492,0.081986902616605,0.132143878503843,0.158691168053412,0.0767042654368072,Steve Irwin Wildlife Reserve,Nature Refuge,National,VI,Individual landowners,Designated,2012,AUS,1254.44272351669,Oceania,VI,-0.081986902616605,0.933628318584071,0.314159292035398,0.623893805309734,0.244186046511628,0.485864202365103,FALSE,0.778761061946903,0.507126634818702,142.457692307692,-12.3192307692308,0.876106194690266,Small,Other designations,Other governance
555577375,7,91.2865524347803,0.864188001807818,6,73.4860910783387,0.103045845971425,0.330811318025234,0.236247676640057,0.133201830668632,Yarraden,Nature Refuge,National,VI,Individual landowners,Designated,2016,AUS,1172.13732641041,Oceania,VI,-0.103045845971425,0.721238938053097,0,0.360619469026549,0.186046511627907,0.301579998433707,FALSE,0.836283185840708,0.507126634818702,143.178571428571,-14.3642857142857,0.63716814159292,Small,Other designations,Other governance
